"rcp","year","iso3","country","ncells","area_sqkm","prod_mt","profits_usd"
"RCP 2.6",2051,"GUY","Guyana",337,33700,319960029.151712,1979919626195.88
"RCP 2.6",2051,"SUR","Suriname",178,17800,168999659.314554,1042732644892.54
"RCP 2.6",2051,"KIR","Gilbert Islands",9615,961500,9128829911.85076,57025307770719.1
"RCP 2.6",2051,"GUY","Guyana",32,3200,30381961.2250883,188423182462.659
"RCP 2.6",2100,"SLB","Solomon Islands",1341,134100,1273194062.58886,7872390926113.8
"RCP 2.6",2100,"FSM","Micronesia",12627,1262700,11957185716.9081,74171977557535.3
"RCP 2.6",2100,"NRU","Nauru",3111,311100,2953696292.85156,18213743389163.6
"RCP 2.6",2100,"MHL","Marshall Islands",10133,1013300,9620637909.18188,59639103163985.3
"RCP 2.6",2100,"PNG","Papua New Guinea",6268,626800,5447309526.1836,36224300434863.8
"RCP 2.6",2100,"TUV","Tuvalu",4299,429900,4081626603.33296,25125973806649.8
"RCP 2.6",2100,"CPV","Cape Verde",342,34200,324707210.593132,2006352978029.67
"RCP 2.6",2100,"KIR","Line Group",16504,1650400,15669496501.8393,97383024898972.3
"RCP 2.6",2100,"KIR","Phoenix Group",7512,751200,7132165397.58949,44425975221585.2
"RCP 2.6",2100,"GUY","Guyana",137,13700,130072771.494909,804609528316.259
"RCP 2.6",2100,"SUR","Suriname",201,20100,190836693.945086,1177365700169.58
"RCP 2.6",2100,"KIR","Gilbert Islands",10619,1061900,10082063945.2879,62926507167421
"RCP 8.5",2021,"SLB","Solomon Islands",3774,377400,3084798120.36812,21596441192955.3
"RCP 8.5",2021,"FSM","Micronesia",14151,1415100,10519950827.6305,78893296818919.7
"RCP 8.5",2021,"NRU","Nauru",3099,309900,2942303057.39215,18144162353188.1
"RCP 8.5",2021,"MHL","Marshall Islands",9814,981400,9149954233.37409,57536519328162.9
"RCP 8.5",2021,"PNG","Papua New Guinea",7651,765100,5060080867.27906,42152191006565.6
"RCP 8.5",2021,"TUV","Tuvalu",4082,408200,3875598928.77533,23876017581624.9
"RCP 8.5",2021,"BRB","Barbados",196,19600,186089512.503666,1137580813967.79
"RCP 8.5",2021,"TTO","Trinidad and Tobago",70,7000,66460540.1798808,412049224457.066
"RCP 8.5",2021,"KIR","Line Group",15967,1596700,15159649215.0308,94212727847624.9
"RCP 8.5",2021,"KIR","Phoenix Group",7512,751200,7132165397.58949,44425975215977.2
"RCP 8.5",2021,"GUY","Guyana",337,33700,319960029.151712,1979919626243.88
"RCP 8.5",2021,"SUR","Suriname",387,38700,367431843.565912,2268400802821.78
"RCP 8.5",2021,"KIR","Gilbert Islands",10619,1061900,10082063945.2879,62926507162437
"RCP 8.5",2021,"GUY","Guyana",32,3200,30381961.2250883,188423182462.659
"RCP 8.5",2051,"SLB","Solomon Islands",2,200,1265614.08658615,10956638443.5623
"RCP 8.5",2051,"FSM","Micronesia",7552,755200,6519786379.90947,43193589449792.1
"RCP 8.5",2051,"NRU","Nauru",2324,232400,2206489933.97204,13652284340102.6
"RCP 8.5",2051,"MHL","Marshall Islands",6798,679800,6454267887.7547,39941072310727.1
"RCP 8.5",2051,"PNG","Papua New Guinea",10396,1039600,7216036692.24156,57727600144793
"RCP 8.5",2051,"TUV","Tuvalu",1597,159700,1516249752.38957,9365507828087.07
"RCP 8.5",2051,"KIR","Line Group",16504,1650400,15669496501.8393,97383024891632.3
"RCP 8.5",2051,"KIR","Phoenix Group",7332,733200,6961266865.69837,43369826850872.7
